Node1,Node2,Weight,Gene/Symptom overlap
kidney diseases,urination disorders,0.586712182,TRUE
disorders of sex development,heart arrest,0.654053211,TRUE
disorders of sex development,peripheral nervous system diseases,0.652097642,FALSE
heart arrest,cerebellar ataxia,0.755756617,FALSE
heart arrest,peripheral nervous system diseases,0.616394818,FALSE
asthma,"diabetes mellitus, type 1",0.635716081,TRUE
asthma,heart diseases,0.621408582,TRUE
asthma,lung diseases,0.594091117,TRUE
asthma,myocardial ischemia,0.618578732,TRUE
"diabetes mellitus, type 1",breast neoplasms,0.605970383,TRUE
"diabetes mellitus, type 1",metabolic syndrome x,0.590947628,TRUE
"diabetes mellitus, type 1",nutrition disorders,0.595352411,TRUE
heart diseases,liver cirrhosis,0.645577073,TRUE
heart diseases,liver diseases,0.645577073,TRUE
heart diseases,myocardial infarction,0.655917645,TRUE
heart diseases,myocardial ischemia,0.681920767,TRUE
lung diseases,"lung diseases, obstructive",0.689293265,TRUE
myocardial ischemia,coronary artery disease,0.602967262,TRUE
myocardial ischemia,coronary disease,0.621221662,TRUE
myocardial ischemia,myocardial infarction,0.717386127,TRUE
ataxia,disorders of sex development,0.645631373,FALSE
ataxia,heart arrest,0.612858355,FALSE
ataxia,muscular diseases,0.71671778,TRUE
ataxia,peripheral nervous system diseases,0.674449444,TRUE
ataxia,spinal cord diseases,0.620844722,TRUE
ataxia,spinal diseases,0.660948813,FALSE
spinal diseases,cerebellar ataxia,0.617462874,FALSE
spinal diseases,cranial nerve diseases,0.58065486,FALSE
cranial nerve diseases,psoriasis,0.583598375,FALSE
skin diseases,psoriasis,0.603171706,TRUE
joint diseases,coronary disease,0.617141485,TRUE
