model,analysis,bin_id,x_mean,y_mean,y_sem,count
loo_without_repeat_02,disease_herb,15,0.7167157488882581,0.056777684925585305,0.02592222428441878,1626
loo_without_repeat_02,disease_herb,16,0.7609695808496546,0.048544564483028525,0.026717507599742004,1626
loo_without_repeat_02,disease_herb,17,0.8102232945406376,0.0813276059851999,0.026510057077108313,1626
loo_without_repeat_02,disease_herb,18,0.8658680456996877,0.07785617137554936,0.0271469297507296,1626
loo_without_repeat_02,disease_herb,19,0.9384505984482922,0.08006925618374457,0.028223155824002324,1626
loo_without_repeat_03,herb_herb,0,0.08838489767231249,-0.049034711888404664,0.011986181661006798,4337
loo_without_repeat_03,herb_herb,1,0.17473435360070672,-0.04562705108861972,0.011611536630039125,4337
loo_without_repeat_03,herb_herb,2,0.23410580296746128,0.007041720286813816,0.01217382566642971,4337
loo_without_repeat_03,herb_herb,3,0.28252442557872715,-0.023554299198142985,0.01189880476865695,4337
loo_without_repeat_03,herb_herb,4,0.3256751238294196,-0.04285441032223141,0.011839192062939641,4337
loo_without_repeat_03,herb_herb,5,0.36439046478744125,-0.000987236455354769,0.011768047201012193,4337
loo_without_repeat_03,herb_herb,6,0.40103286098046786,0.0014052437879689072,0.011847821949185685,4337
loo_without_repeat_03,herb_herb,7,0.4354967483491725,-0.013291672915901337,0.011865663136240509,4337
loo_without_repeat_03,herb_herb,8,0.4686299729700448,-0.002231859908878733,0.011960847377005016,4337
loo_without_repeat_03,herb_herb,9,0.5008586802825783,-0.0027985436574796217,0.011995296564420704,4337
loo_without_repeat_03,herb_herb,10,0.533384078161852,-0.020107235523265304,0.011900893494078383,4337
loo_without_repeat_03,herb_herb,11,0.5648757816601893,0.006992530526913605,0.011787876786050061,4337
loo_without_repeat_03,herb_herb,12,0.5963905425714849,0.013660966040102442,0.012119114214089833,4337
loo_without_repeat_03,herb_herb,13,0.6279028032813755,-0.008723609096681607,0.012152134214177818,4337
loo_without_repeat_03,herb_herb,14,0.6593614485611341,0.019803193337003876,0.012199216904722731,4337
loo_without_repeat_03,herb_herb,15,0.6921204763717077,0.024654370160388493,0.01230549495222949,4337
loo_without_repeat_03,herb_herb,16,0.7278959009469613,0.007493142836705226,0.01254350237458222,4336
loo_without_repeat_03,herb_herb,17,0.7672978815631529,0.006727566802195622,0.012443299813765792,4336
loo_without_repeat_03,herb_herb,18,0.8151130351664962,0.06503261381376421,0.012456694390389296,4336
loo_without_repeat_03,herb_herb,19,0.8883110856710977,0.056430567658195395,0.012960767058563276,4336
loo_without_repeat_03,disease_disease,0,0.09611362844196583,-0.5230987728586493,0.09385385891980412,302
loo_without_repeat_03,disease_disease,1,0.1909637504356919,-0.31106151585667363,0.11292440820076906,151
loo_without_repeat_03,disease_disease,2,0.24412280701754388,-0.0747602650453676,0.08900023880361947,150
loo_without_repeat_03,disease_disease,3,0.2934210526315789,-0.037404267512929704,0.09235774842862292,150
loo_without_repeat_03,disease_disease,4,0.33710526315789474,-0.062188750926559774,0.09552625118222773,150
loo_without_repeat_03,disease_disease,5,0.3792982456140352,-0.08311655601120448,0.07984804888513594,150
loo_without_repeat_03,disease_disease,6,0.41767543859649126,0.008105197829524263,0.05898246259880318,150
loo_without_repeat_03,disease_disease,7,0.45469298245614026,0.11220868269193815,0.05412681479693377,150
loo_without_repeat_03,disease_disease,8,0.4942982456140352,-0.03164938090094425,0.08199645574661216,150
loo_without_repeat_03,disease_disease,9,0.5307017543859649,0.02518432030734419,0.06617970220854351,150
loo_without_repeat_03,disease_disease,10,0.564342105263158,0.12156690554117373,0.050333738228913766,150
loo_without_repeat_03,disease_disease,11,0.6030043859649125,0.08623350150784298,0.05660606590248287,150
loo_without_repeat_03,disease_disease,12,0.6399780701754385,0.15476916510143185,0.038206931236885996,150
loo_without_repeat_03,disease_disease,13,0.6774122807017543,0.1958236614240694,0.030740149238510858,150
