analysis,bin_id,x_mean,null_mean,null_median,null_mean_within_bin_sem,null_sem_across_permutations,null_q025,null_q975,n_permutations,mean_pairs_per_bin
disease_herb,16,0.825814291796764,-0.0010848210177490326,-0.0023458585721520438,0.024656037436024014,0.001371005143425173,-0.08343166586252028,0.08612730793276027,1000,1626.0
disease_herb,17,0.875922509225092,-0.0026306989654983418,-0.004510826980939851,0.02453810493488573,0.0015760078267236096,-0.09568177395521722,0.10002109014011765,1000,1626.0
disease_herb,18,0.9260307266534207,-0.0015637827059393273,-0.004286623771636406,0.024528975727402553,0.001983850727716175,-0.12019625699943999,0.13002680857568005,1000,1626.0
disease_herb,19,0.9761389440817486,-0.002233180881698536,-0.008044221569805422,0.02425916870369971,0.003031638399802468,-0.16620390643901692,0.20506923891398232,1000,1626.0
herb_herb,0,0.02769250856318982,-9.067161371375432e-05,-0.000161031649624601,0.01207149059569607,0.0004554008863991198,-0.03006137356564583,0.02701922295439861,1000,4337.0
herb_herb,1,0.08365618341477508,8.190094664660041e-05,-0.00034849833039428575,0.012083310741002988,0.0004799710082164204,-0.028763380131903712,0.029508092412804353,1000,4337.0
herb_herb,2,0.1391820452203094,0.0005287584934706683,0.0018727066215852679,0.012082650111453251,0.0005168622501201141,-0.03072292463882045,0.03193925736763062,1000,4337.0
herb_herb,3,0.19408341227487774,0.00019577362859054642,0.00038522654020750656,0.012081548321632486,0.0005014095541744973,-0.030079732046549134,0.031496174001193936,1000,4337.0
herb_herb,4,0.24812998824905333,-0.0006191513510244755,-0.00048783387196869605,0.01207594670768482,0.0005019973753860164,-0.03143841240625976,0.030792644759283557,1000,4337.0
herb_herb,5,0.30006722763778193,-9.383856579243438e-05,-0.00034757631189158227,0.0120813864490652,0.00047271092931563773,-0.02829310733433445,0.030201869339633616,1000,4337.0
herb_herb,6,0.35170527625836534,-6.52247715802419e-05,-0.0001337461606329843,0.012070862020582038,0.0004892491545270569,-0.028511913581621303,0.031190280376834825,1000,4337.0
herb_herb,7,0.40029613496642796,0.00022972234124031188,0.00018636886331053804,0.012077235212677773,0.000457539639206956,-0.026933582329752067,0.02863679054840571,1000,4337.0
herb_herb,8,0.44826749932633453,0.0009581876437334756,0.0010618360322035866,0.012075748007561579,0.00046096719252482004,-0.02696221773431921,0.02958648564387259,1000,4337.0
herb_herb,9,0.4947345758408319,0.00017679524078212803,0.0003046114328336429,0.01207955848683103,0.00040998489807393104,-0.02420459546624288,0.024202598302712593,1000,4337.0
herb_herb,10,0.5391870456231195,2.3192447711817317e-05,7.235654867862366e-05,0.012078604842645287,0.00040960611714311673,-0.025942955428060768,0.026240355806893486,1000,4337.0
herb_herb,11,0.5822113448027758,0.0009799799440929667,0.0011572299553662378,0.012078769278230449,0.00040754554741942564,-0.024760238918078232,0.0251323773919623,1000,4337.0
herb_herb,12,0.6250525736795464,-0.0001707479652283856,-0.00036154805287520536,0.012082207643530992,0.00039576362089083797,-0.02469121553585758,0.025285878959067767,1000,4337.0
herb_herb,13,0.6664595203502504,-0.0001554289511730063,-0.0004106726282503887,0.01208436866221218,0.00038471891731767374,-0.02335583077414767,0.02428785657309768,1000,4337.0
herb_herb,14,0.7069236132910709,0.0004413777004768399,0.0003994156651696434,0.01207590156902003,0.0003830418860457896,-0.024288732351066464,0.02452393285812097,1000,4337.0
herb_herb,15,0.7475454967205691,-0.0007499950774859602,-0.0011091551025000147,0.012070105126837458,0.0004417768296030218,-0.026130804210727766,0.027044835608019267,1000,4337.0
herb_herb,16,0.788134919752812,0.0002916813551040916,0.0007819343280371844,0.012075481426405679,0.0005632829651499742,-0.03434044904981621,0.03392483566130883,1000,4336.0
herb_herb,17,0.8316092784421817,-0.000720700092213889,-0.0004191997342374844,0.012061050541257449,0.0006491397641020181,-0.03765207473643377,0.038942050821811486,1000,4336.0
herb_herb,18,0.8808265349219758,-0.0002465475214037119,0.0005016042194351829,0.012053867948426625,0.0008775785245771194,-0.0551767501687361,0.052643332592131505,1000,4336.0
herb_herb,19,0.9445680322767078,-0.0009954491251512028,-0.003076306988663909,0.012028329759790008,0.0013516396271242097,-0.0819583087658739,0.08242594503541986,1000,4336.0
