repeat_a,repeat_b,k,mean_nn_jaccard,std_nn_jaccard_across_records
repeat_04,repeat_05,20,0.3507866098174664,0.1512461342297581
repeat_04,repeat_05,50,0.4618007947167826,0.15559380395714978
repeat_04,repeat_05,100,0.5364075963909654,0.13975121090331302
repeat_04,repeat_05,200,0.6085602243738447,0.11723163257897597
repeat_04,repeat_06,5,0.20534126984126985,0.16595435277861187
repeat_04,repeat_06,10,0.2651245148040814,0.1505474551946025
repeat_04,repeat_06,20,0.33753017044604205,0.15032699060266816
repeat_04,repeat_06,50,0.44938022996161864,0.15721938685190384
repeat_04,repeat_06,100,0.5245636907643516,0.14081577083423003
repeat_04,repeat_06,200,0.5995299817133162,0.11923783080297215
repeat_04,repeat_07,5,0.19969444444444445,0.16828231707152344
repeat_04,repeat_07,10,0.2556397239241667,0.15173849222165942
repeat_04,repeat_07,20,0.32888301229098627,0.14957960428283681
repeat_04,repeat_07,50,0.4392892199040515,0.15993542032545485
repeat_04,repeat_07,100,0.516066065439551,0.14038399308567606
repeat_04,repeat_07,200,0.5937306099603226,0.1208416872659881
repeat_04,repeat_08,5,0.20956150793650796,0.1717011400213352
repeat_04,repeat_08,10,0.2682358170725043,0.1513435162907029
repeat_04,repeat_08,20,0.3439210500666495,0.15328613280319525
repeat_04,repeat_08,50,0.44801828256483894,0.1498398450129409
repeat_04,repeat_08,100,0.5209777205996895,0.13356558184129494
repeat_04,repeat_08,200,0.595296261769423,0.11506048690337267
repeat_04,repeat_09,5,0.19618253968253968,0.16446394923330496
repeat_04,repeat_09,10,0.2543836943070689,0.15103695543279794
repeat_04,repeat_09,20,0.32244789505573634,0.15151220425904224
repeat_04,repeat_09,50,0.4342670676946633,0.15984192992567345
repeat_04,repeat_09,100,0.5062568963179448,0.1411347744297455
repeat_04,repeat_09,200,0.5832483746958508,0.123370558999505
repeat_04,repeat_10,5,0.22383531746031743,0.18189693690751876
repeat_04,repeat_10,10,0.2847298443300765,0.15755940250145214
repeat_04,repeat_10,20,0.3568816544309168,0.14993275367386086
repeat_04,repeat_10,50,0.4677387922586262,0.15568416398722923
repeat_04,repeat_10,100,0.5401623432044994,0.13752969826656225
repeat_04,repeat_10,200,0.6113190361080555,0.1159139780775219
repeat_05,repeat_06,5,0.1963293650793651,0.16713823937617994
repeat_05,repeat_06,10,0.2547082352202321,0.15135721302083688
repeat_05,repeat_06,20,0.3238565895525044,0.1477648073028907
repeat_05,repeat_06,50,0.43538777584478316,0.15665619513403037
repeat_05,repeat_06,100,0.5158152016242621,0.14478359876907437
repeat_05,repeat_06,200,0.5950033921028838,0.12535692005588783
repeat_05,repeat_07,5,0.19069642857142854,0.16535022143364392
repeat_05,repeat_07,10,0.24688453303662283,0.14855543582371256
repeat_05,repeat_07,20,0.3231903059076994,0.15080011642845031
repeat_05,repeat_07,50,0.4348979994048235,0.16064696293044375
repeat_05,repeat_07,100,0.5081361418370018,0.14331456019622857
repeat_05,repeat_07,200,0.5846447272109238,0.12072745960363239
repeat_05,repeat_08,5,0.2057678571428571,0.17177378892989556
repeat_05,repeat_08,10,0.2654762647912802,0.15524159776138824
repeat_05,repeat_08,20,0.33792462462861333,0.1541376420235064
repeat_05,repeat_08,50,0.44130730855881994,0.1540044576542237
repeat_05,repeat_08,100,0.5119827436268242,0.13711854335190324
repeat_05,repeat_08,200,0.5860120010135345,0.11659756460970387
repeat_05,repeat_09,5,0.1810496031746032,0.15533647195078684
repeat_05,repeat_09,10,0.23884634801043467,0.14795409479635788
repeat_05,repeat_09,20,0.31033081958132563,0.1505786439957133
repeat_05,repeat_09,50,0.4193672657564004,0.15860397725290482
repeat_05,repeat_09,100,0.4932230983955119,0.14416442414620745
repeat_05,repeat_09,200,0.5695737227535703,0.12512513187581306
repeat_05,repeat_10,5,0.22271825396825395,0.1790100809632749
repeat_05,repeat_10,10,0.2767544775056384,0.15560133120160433
repeat_05,repeat_10,20,0.3493721125095567,0.15041438098870863
